ABID;TYPE;SPECIES;ANTIGEN;GENSYMBOL
ab0018;CD markers, REAfinity Antibodies;human;CD13;ANPEP
ab0018;CD markers, REAfinity Antibodies;human;CD13;ANPEP
ab0018;CD markers, REAfinity Antibodies;human;CD13;ANPEP
ab0018;CD markers, REAfinity Antibodies;human;CD13;ANPEP
ab0018;CD markers, REAfinity Antibodies;human;CD13;ANPEP
ab0018;CD markers, REAfinity Antibodies;human;CD13;ANPEP
ab0018;CD markers, REAfinity Antibodies;human;CD13;ANPEP
ab0018;CD markers, REAfinity Antibodies;human;CD13;ANPEP
ab0018;CD markers, REAfinity Antibodies;human;CD13;ANPEP
ab0018;CD markers, REAfinity Antibodies;human;CD13;ANPEP
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
ab0019;CD markers;human, non-human primate, other;CD14;CD14
